0,0,11
1,12,16
2,17,41
3,42,286
4,287,292
5,293,300
6,301,800
7,801,955
8,956,974
9,975,981
10,982,1012
11,1013,1022
12,1023,1039
13,1040,1048
14,1049,1057
15,1058,1064
16,1065,1069
17,1070,1190
18,1191,1221
19,1222,1234
20,1235,1247
21,1248,1256
22,1257,1271
23,1272,1286
24,1287,1305
25,1306,1316
26,1317,1322
27,1323,1328
28,1329,1340
29,1341,1457
30,1458,1462
31,1463,1467
32,1468,1484
33,1485,1494
34,1495,1507
35,1508,1539
36,1540,1616
37,1617,1702
38,1703,1713
39,1714,1759
40,1760,1776
41,1777,1798
42,1799,1804
43,1805,1815
44,1816,1820
45,1821,1827
46,1828,1834
47,1835,1847
48,1848,1852
49,1853,1866
50,1867,1880
51,1881,1888
52,1889,1930
53,1931,2114
54,2115,2141
55,2142,2153
56,2154,2177
57,2178,2187
58,2188,2205
59,2206,2216
60,2217,2245
61,2246,2332
62,2333,2337
63,2338,2344
64,2345,2363
65,2364,2368
66,2369,2375
67,2376,2381
68,2382,2402
69,2403,2441
70,2442,2446
71,2447,2471
72,2472,2484
73,2485,2506
74,2507,2513
75,2514,2518
76,2519,2530
77,2531,2537
78,2538,2546
79,2547,2552
80,2553,2556
81,2557,2565
82,2566,2570
83,2571,2594
84,2595,2754
85,2755,2763
86,2764,2772
87,2773,2776
88,2777,2781
89,2782,2788
90,2789,2795
91,2796,2809
92,2810,2827
93,2828,2835
94,2836,2863
95,2864,2874
96,2875,2891
97,2892,2911
98,2912,2936
99,2937,2942
100,2943,2976
101,2977,2983
102,2984,2991
103,2992,2996
104,2997,3015
105,3016,3020
106,3021,3059
107,3060,3076
108,3077,3083
109,3084,3097
110,3098,3105
111,3106,3115
112,3116,3120
113,3121,3151
114,3152,3159
115,3160,3164
116,3165,3180
117,3181,3404
118,3405,3409
119,3410,3419
120,3420,3424
121,3425,3463
122,3464,3482
123,3483,3504
124,3505,3509
125,3510,3537
126,3538,3550
127,3551,3561
128,3562,3566
129,3567,3571
130,3572,3576
131,3577,3585
132,3586,3592
133,3593,3627
134,3628,3654
135,3655,3661
136,3662,3666
137,3667,3774
138,3775,3784
139,3785,3796
140,3797,3832
141,3833,3849
142,3850,3855
143,3856,3874
144,3875,4088
145,4089,4175
146,4176,4184
147,4185,4212
148,4213,4229
149,4230,4239
150,4240,4255
151,4256,4265
152,4266,4296
153,4297,4303
154,4304,4308
155,4309,4379
156,4380,4396
157,4397,4407
158,4408,4427
159,4428,4432
160,4433,4440
161,4441,4451
162,4452,4487
163,4488,4526
164,4527,4538
165,4539,4543
166,4544,4635
167,4636,4671
168,4672,4676
169,4677,4689
170,4690,4710
171,4711,4762
172,4763,4768
173,4769,4790
174,4791,4805
175,4806,4834
176,4835,4860
177,4861,4875
178,4876,7142
179,7143,7159
180,7160,7186
181,7187,7199
182,7200,7205
183,7206,7275
