ab	45
ab	48
ac	23
ae	30
af	68
ag	92
ah	10
ah	16
ai	82
ak	69
al	19
an	11
ao	38
ap	96
aq	24
as	91
au	31
au	38
au	79
av	55
aw	44
aw	89
ax	34
ay	38
ay	56
ay	67
ay	80
az	62
az	89
ba	34
ba	46
bb	21
bb	27
bb	69
bb	94
bc	11
bc	19
bc	87
bc	91
bf	93
bg	48
bg	78
bg	88
bh	10
bh	42
bh	72
bh	76
bi	30
bj	21
bl	57
bo	66
bp	33
bp	85
bq	59
bs	84
bt	52
bt	52
bu	70
bv	22
bw	16
bw	55
bw	86
bx	10
bx	16
bx	16
bx	50
bx	52
bz	61
bz	76
ca	42
cb	20
cb	68
cb	77
cc	10
cd	35
ce	34
ce	37
cf	45
cg	90
ch	35
ci	63
cj	14
ck	56
ck	71
cl	41
cl	48
cm	89
cn	73
co	41
co	41
cr	47
cr	54
cr	90
cs	66
cu	25
cu	51
cu	61
cu	76
cv	51
cv	61
cv	75
cw	16
cw	24
cw	58
cx	13
cx	90
cy	51
cy	94
db	12
db	28
dc	86
dd	12
dd	48
dd	70
de	65
de	72
de	91
df	55
df	85
dg	37
dg	51
dg	70
dh	42
dh	63
di	22
dk	57
dl	62
dl	79
dm	15
dm	56
do	24
do	62
dp	42
ds	42
ds	94
du	26
du	96
dw	35
dx	64
dx	74
dx	95
dx	96
dy	27
ea	80
eb	92
ec	97
ed	13
ee	29
ef	12
ef	74
ef	82
ef	88
eg	37
eg	62
eg	87
ej	71
ek	64
em	19
em	38
en	25
en	30
en	58
en	63
eo	24
eo	25
ep	24
ep	61
ep	70
eq	51
eq	53
eq	63
eq	68
er	41
er	87
es	42
es	92
eu	12
ev	36
ev	90
ew	32
ew	53
ew	86
ey	68
fa	79
fa	85
fb	74
fc	58
fe	37
fe	61
ff	32
fg	33
fg	76
fh	25
fh	38
fi	57
fi	87
fj	68
fj	98
fk	10
fk	19
fk	22
fk	57
fl	38
fl	80
fm	60
fn	27
fn	71
fo	14
fo	41
fo	61
fq	50
fq	62
fu	49
fu	53
fu	65
fu	70
fv	76
fy	13
fz	23
fz	54
gb	34
ge	50
ge	68
gf	40
gf	53
gf	78
gg	20
gg	75
gg	93
gi	91
gj	16
gj	56
gj	82
gk	34
gk	68
gl	14
gl	58
gm	49
gn	53
gn	69
go	33
go	63
gp	11
gq	15
gq	53
gr	18
gr	96
gs	19
gt	22
gt	33
gu	47
gu	99
gv	46
gw	14
gw	75
gy	22
gz	84
ha	11
ha	61
ha	98
hb	89
hb	90
hc	33
hc	58
hc	78
hd	21
hd	95
he	49
hg	57
hh	71
hj	54
hj	60
hl	52
hl	86
hm	23
hm	94
hn	55
ho	29
ho	47
hp	10
hp	29
hp	71
hp	83
hq	21
hq	34
hq	68
hr	56
hr	74
hs	44
hw	20
hw	21
hw	58
hw	73
hx	23
hx	78
hy	23
hz	10
hz	30
hz	65
hz	66
hz	95
ib	71
ic	37
ic	43
ic	45
ie	29
ie	42
ie	44
if	96
ig	30
ih	56
ih	86
ii	39
ii	98
ij	23
ik	54
ik	69
ik	86
ik	88
im	27
im	88
im	90
in	24
in	56
in	57
in	77
io	16
io	22
io	81
ip	31
it	37
it	39
it	82
iu	54
iu	80
iu	85
iw	26
iw	44
iw	48
ix	22
ix	42
ix	64
ix	68
iz	87
iz	91
ja	42
ja	45
ja	54
ja	70
ja	92
jb	24
jb	57
jc	71
jc	74
jd	33
je	19
je	29
jf	30
jh	96
ji	64
jk	63
jk	65
jk	96
jm	67
jn	11
jn	39
jp	37
jp	62
